Date,RED_ETF,NAV,SP500,Premium_Discount
2024-01-01,100.00,100.00,100.00,100.00
2024-01-15,98.50,98.30,97.20,100.20
2024-02-01,102.30,102.10,99.80,100.20
2024-02-15,105.80,105.60,102.50,100.19
2024-03-01,103.20,103.00,100.20,100.19
2024-03-15,108.90,108.70,104.80,100.18
2024-04-01,112.30,112.10,107.40,100.18
2024-04-15,109.60,109.40,105.00,100.18
2024-05-01,115.80,115.60,109.60,100.17
2024-05-15,118.90,118.70,112.20,100.17
2024-06-01,116.90,116.70,110.80,100.17
2024-06-15,120.80,120.60,114.40,100.17
2024-07-01,123.60,123.40,117.00,100.16
2024-07-15,121.30,121.10,114.60,100.16
2024-08-01,125.90,125.70,118.20,100.16
2024-08-15,128.40,128.20,120.80,100.16
2024-09-01,126.80,126.60,118.40,100.16
2024-09-15,130.10,129.90,122.00,100.15
2024-10-01,132.30,132.10,124.60,100.15
2024-10-15,129.40,129.20,122.20,100.15
2024-11-01,133.40,133.20,125.80,100.15
2024-11-15,136.30,136.10,128.40,100.15
2024-12-01,134.10,133.90,126.00,100.15
2024-12-15,137.80,137.60,129.60,100.14
2024-12-19,141.20,141.00,132.20,100.14 